,GB Indices,mixed,tilt,twist,count,max_theta,min_theta,h1,k1,l1,h2,k2,l2,ni1,al,au1,mishin cu,cos_min_theta,sin_min_theta,tan_min_theta,dot_hkl
0,1,5.0,7.0,1.0,13,180.0,36.8699,3.0,1.0,0.0,3.0,1.0,0.0,1.217936772,0.462648384,0.458018055,0.901840707,0.675457156116,-0.737399233965,-1.09170393309,0.1
1,2,4.0,2.0,4.0,10,180.0,36.8699,2.0,0.0,0.0,2.0,0.0,0.0,0.957917357,0.324411431,0.364177787,0.728900319,0.675457156116,-0.737399233965,-1.09170393309,0.25
2,3,2.0,3.0,2.0,7,180.0,60.0,2.0,2.0,2.0,2.0,2.0,2.0,0.063606943,0.058111431,0.024481463,0.022254419,-0.952412980415,-0.304810621102,0.32004038938,0.0833333333333
3,4,5.0,6.0,1.0,12,180.0,60.0,2.0,1.0,1.0,2.0,1.0,1.0,0.878881325,0.324459497,0.316464569,0.590342927,-0.952412980415,-0.304810621102,0.32004038938,0.166666666667
4,5,5.0,3.0,2.0,10,180.0,60.0,1.0,1.0,0.0,1.0,1.0,0.0,1.004973678,0.307267998,0.359162932,0.686298087,-0.952412980415,-0.304810621102,0.32004038938,0.5
5,6,5.0,7.0,1.0,13,180.0,36.8699,4.0,2.0,0.0,4.0,2.0,0.0,1.284571854,0.446370134,0.480160321,0.948047867,0.675457156116,-0.737399233965,-1.09170393309,0.05
6,7,5.0,7.0,1.0,13,180.0,22.6199,5.0,1.0,0.0,5.0,1.0,0.0,1.200553011,0.477292401,0.457713639,0.871383075,-0.80876246978,-0.588135415934,0.727204139547,0.0384615384615
7,8,4.0,2.0,4.0,10,180.0,22.6199,2.0,0.0,0.0,2.0,0.0,0.0,0.884312749,0.332614644,0.32684676,0.64888695,-0.80876246978,-0.588135415934,0.727204139547,0.25
8,9,7.0,9.0,1.0,17,180.0,48.1897,5.0,2.0,1.0,5.0,2.0,1.0,1.144316142,0.40214969,0.425349401,0.850682781,-0.483795302169,-0.875181184441,1.80899066303,0.0333333333333
9,10,10.0,3.0,0.0,13,180.0,36.8699,5.0,2.0,1.0,5.0,2.0,1.0,0.977848601,0.313676758,0.358057421,0.718982763,0.675457156116,-0.737399233965,-1.09170393309,0.0333333333333
10,11,7.0,3.0,0.0,10,180.0,60.0,5.0,2.0,1.0,5.0,2.0,1.0,0.809378322,0.327295373,0.292303544,0.551217448,-0.952412980415,-0.304810621102,0.32004038938,0.0333333333333
